,id,name,state
432,18813,WOLFSBERG-REDING,Kärnten
433,18905,DEUTSCHLANDSBERG,Steiermark
434,19204,BAD GLEICHENBERG,Steiermark
435,19205,FELDBACH,Steiermark
436,19501,SILLIAN,Tirol
437,19715,VORHEGG,Kärnten
438,19730,LAAS,Kärnten
439,19731,LAAS,Kärnten
440,19800,REISACH,Kärnten
441,19830,NASSFELD,Kärnten
442,19911,HERMAGOR,Kärnten
443,20000,BAD BLEIBERG,Kärnten
444,20001,BAD BLEIBERG,Kärnten
445,20002,BAD BLEIBERG,Kärnten
446,20005,KREUTH,Kärnten
447,20020,VILLACHER ALPE,Kärnten
448,20021,VILLACHER ALPE,Kärnten
449,20100,KANZELHOEHE,Kärnten
450,20101,KANZELHOEHE,Kärnten
451,20102,KANZELHOEHE,Kärnten
452,20105,ARRIACH,Kärnten
453,20110,VELDEN,Kärnten
454,20117,VILLACH/PERAU,Kärnten
455,20118,VILLACH/SEEBACH,Kärnten
456,20119,VILLACH/MARIA GAIL,Kärnten
457,20121,VILLACH/SEEBACH,Kärnten
458,20122,VILLACH,Kärnten
459,20200,FERLACH,Kärnten
460,20201,FERLACH,Kärnten
461,20202,FERLACH,Kärnten
462,20204,KLAGENFURT/FLIEGERHORST,Kärnten
463,20205,KLAGENFURT/ST.MARTIN,Kärnten
464,20210,KLAGENFURT-FLUGPLATZ,Kärnten
465,20211,KLAGENFURT-FLUGHAFEN,Kärnten
466,20212,KLAGENFURT-FLUGHAFEN,Kärnten
467,20230,RUPERTIBERG,Kärnten
468,20240,FEISTRITZ/ROSENTAL,Kärnten
469,20270,FELDKIRCHEN,Kärnten
470,20300,HOEHENBERGEN-TAINACH,Kärnten
471,20305,HOERZENDORF/ST.VEIT,Kärnten
472,20330,HOCHOBIR,Kärnten
473,20400,ST.MICHAEL/BLEIBURG,Kärnten
474,20401,FEISTRITZ ob BLEIBURG,Kärnten
475,20402,ST.MICHAEL/BLEIBURG,Kärnten
476,20404,FEISTRITZ ob BLEIBURG,Kärnten
477,20405,VOELKERMARKT,Kärnten
